Execution: 20-08-2018 19:57;
Date,Test,Threads,Execution time
20-08-2018 19:57,distributions-allhistos,0,2:52.54
20-08-2018 20:00,distributions-allhistos,1,6:25.24
20-08-2018 20:07,distributions-allhistos,2,3:46.54
20-08-2018 20:10,distributions-allhistos,4,2:08.57
20-08-2018 20:12,distributions-allhistos,8,1:36.56
20-08-2018 20:14,distributions-allhistos-libs,0,1:32.89
20-08-2018 20:16,distributions-allhistos-libs,1,6:46.80
20-08-2018 20:22,distributions-allhistos-libs,2,3:33.36
20-08-2018 20:26,distributions-allhistos-libs,4,2:00.11
20-08-2018 20:28,distributions-allhistos-libs,8,1:36.63
